date,student_id,present
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,No
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,No
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,No
1970-01-01,S010,No
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,No
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,No
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,No
1970-01-01,S010,No
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,No
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,No
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,No
1970-01-01,S010,No
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,No
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,No
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,No
1970-01-01,S010,No
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
1970-01-01,S001,Yes
1970-01-01,S002,Yes
1970-01-01,S003,Yes
1970-01-01,S004,Yes
1970-01-01,S005,Yes
1970-01-01,S006,Yes
1970-01-01,S007,Yes
1970-01-01,S008,Yes
1970-01-01,S009,Yes
1970-01-01,S010,Yes
